"","Unadjusted_p","FDR","Pathway"
"PWY.4242:pantothenate.and.coenzyme.A.biosynthesis.III",0.00268320135147176,0.0416100127053474,"PWY.4242:pantothenate.and.coenzyme.A.biosynthesis.III"
"PANTOSYN.PWY:pantothenate.and.coenzyme.A.biosynthesis.I",0.00268320135147176,0.0416100127053474,"PANTOSYN.PWY:pantothenate.and.coenzyme.A.biosynthesis.I"
"PWY4FS.7:phosphatidylglycerol.biosynthesis.I.(plastidic)",0.0029571715952706,0.0416100127053474,"PWY4FS.7:phosphatidylglycerol.biosynthesis.I.(plastidic)"
"PWY4FS.8:phosphatidylglycerol.biosynthesis.II.(non.plastidic)",0.0029571715952706,0.0416100127053474,"PWY4FS.8:phosphatidylglycerol.biosynthesis.II.(non.plastidic)"
"PWY.6387:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I.(meso.diaminopimelate.containing)",0.00307045895281189,0.0416100127053474,"PWY.6387:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I.(meso.diaminopimelate.containing)"
"PWY.7208:superpathway.of.pyrimidine.nucleobases.salvage",0.00307045895281189,0.0416100127053474,"PWY.7208:superpathway.of.pyrimidine.nucleobases.salvage"
"PWY.6700:queuosine.biosynthesis",0.00373021096619949,0.0458116534286375,"PWY.6700:queuosine.biosynthesis"
"COA.PWY:coenzyme.A.biosynthesis.I",0.00373021096619949,0.0458116534286375,"COA.PWY:coenzyme.A.biosynthesis.I"
"PWY66.400:glycolysis.VI.(metazoan)",0.00373021096619949,0.0458116534286375,"PWY66.400:glycolysis.VI.(metazoan)"
"PHOSLIPSYN.PWY:superpathway.of.phospholipid.biosynthesis.I.(bacteria)",0.00408652658854093,0.0480319868341189,"PHOSLIPSYN.PWY:superpathway.of.phospholipid.biosynthesis.I.(bacteria)"
"PWY0.1586:peptidoglycan.maturation.(meso.diaminopimelate.containing)",0.00415543906452937,0.0480319868341189,"PWY0.1586:peptidoglycan.maturation.(meso.diaminopimelate.containing)"
"PEPTIDOGLYCANSYN.PWY:peptidoglycan.biosynthesis.I.(meso.diaminopimelate.containing)",0.0048480930833872,0.0480608787550318,"PEPTIDOGLYCANSYN.PWY:peptidoglycan.biosynthesis.I.(meso.diaminopimelate.containing)"
"PWY.5659:GDP.mannose.biosynthesis",0.0048480930833872,0.0480608787550318,"PWY.5659:GDP.mannose.biosynthesis"
"PWY.5910:superpathway.of.geranylgeranyldiphosphate.biosynthesis.I.(via.mevalonate)",0.00492320264995417,0.0480608787550318,"PWY.5910:superpathway.of.geranylgeranyldiphosphate.biosynthesis.I.(via.mevalonate)"
"P124.PWY:Bifidobacterium.shunt",0.00492320264995417,0.0480608787550318,"P124.PWY:Bifidobacterium.shunt"
"GOLPDLCAT.PWY:superpathway.of.glycerol.degradation.to.1.3.propanediol",0.00492320264995417,0.0480608787550318,"GOLPDLCAT.PWY:superpathway.of.glycerol.degradation.to.1.3.propanediol"
"PWY.5686:UMP.biosynthesis",0.00513627711885836,0.0480608787550318,"PWY.5686:UMP.biosynthesis"
"PWY.4981:L.proline.biosynthesis.II.(from.arginine)",0.00513627711885836,0.0480608787550318,"PWY.4981:L.proline.biosynthesis.II.(from.arginine)"
"PWY.6897:thiamin.salvage.II",0.00513627711885836,0.0480608787550318,"PWY.6897:thiamin.salvage.II"
"PWY.5913:TCA.cycle.VI.(obligate.autotrophs)",0.00700509795013168,0.0607487142013996,"PWY.5913:TCA.cycle.VI.(obligate.autotrophs)"
"PWY.6386:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II.(lysine.containing)",0.00711053652230123,0.0607487142013996,"PWY.6386:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II.(lysine.containing)"
"PWY.841:superpathway.of.purine.nucleotides.de.novo.biosynthesis.I",0.00711053652230123,0.0607487142013996,"PWY.841:superpathway.of.purine.nucleotides.de.novo.biosynthesis.I"
"PWY.6125:superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II",0.00711053652230123,0.0607487142013996,"PWY.6125:superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II"
"PWY.3841:folate.transformations.II",0.00946340659650707,0.0791301870729209,"PWY.3841:folate.transformations.II"
"UDPNAGSYN.PWY:UDP.N.acetyl.D.glucosamine.biosynthesis.I",0.0103425985778927,0.0829518620635067,"UDPNAGSYN.PWY:UDP.N.acetyl.D.glucosamine.biosynthesis.I"
"METH.ACETATE.PWY:methanogenesis.from.acetate",0.0103425985778927,0.0829518620635067,"METH.ACETATE.PWY:methanogenesis.from.acetate"
"1CMET2.PWY:N10.formyl.tetrahydrofolate.biosynthesis",0.0126638634865101,0.0995379670039697,"1CMET2.PWY:N10.formyl.tetrahydrofolate.biosynthesis"
"PWY.1042:glycolysis.IV.(plant.cytosol)",0.0167876330268719,0.126875764991551,"PWY.1042:glycolysis.IV.(plant.cytosol)"
"METSYN.PWY:L.homoserine.and.L.methionine.biosynthesis",0.0167876330268719,0.126875764991551,"METSYN.PWY:L.homoserine.and.L.methionine.biosynthesis"
"PWY.5347:superpathway.of.L.methionine.biosynthesis.(transsulfuration)",0.0179015074410279,0.132741366496679,"PWY.5347:superpathway.of.L.methionine.biosynthesis.(transsulfuration)"
"PWY.6385:peptidoglycan.biosynthesis.III.(mycobacteria)",0.0202003878474467,0.14035847996048,"PWY.6385:peptidoglycan.biosynthesis.III.(mycobacteria)"
"PWY.7228:superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I",0.0202003878474467,0.14035847996048,"PWY.7228:superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I"
"PWY.6143:CMP.pseudaminate.biosynthesis",0.0202003878474467,0.14035847996048,"PWY.6143:CMP.pseudaminate.biosynthesis"
"GALACTARDEG.PWY:D.galactarate.degradation.I",0.0210716293070441,0.14035847996048,"GALACTARDEG.PWY:D.galactarate.degradation.I"
"GLUCARGALACTSUPER.PWY:superpathway.of.D.glucarate.and.D.galactarate.degradation",0.0210716293070441,0.14035847996048,"GLUCARGALACTSUPER.PWY:superpathway.of.D.glucarate.and.D.galactarate.degradation"
"GLUCARDEG.PWY:D.glucarate.degradation.I",0.0210716293070441,0.14035847996048,"GLUCARDEG.PWY:D.glucarate.degradation.I"
"HOMOSER.METSYN.PWY:L.methionine.biosynthesis.I",0.0233964554428034,0.153246783150363,"HOMOSER.METSYN.PWY:L.methionine.biosynthesis.I"
"OANTIGEN.PWY:O.antigen.building.blocks.biosynthesis.(E..coli)",0.0273109243697479,0.175953988152638,"OANTIGEN.PWY:O.antigen.building.blocks.biosynthesis.(E..coli)"
"PWY.5384:sucrose.degradation.IV.(sucrose.phosphorylase)",0.0302999549564887,0.177777577182841,"PWY.5384:sucrose.degradation.IV.(sucrose.phosphorylase)"
"MET.SAM.PWY:superpathway.of.S.adenosyl.L.methionine.biosynthesis",0.0302999549564887,0.177777577182841,"MET.SAM.PWY:superpathway.of.S.adenosyl.L.methionine.biosynthesis"
"PANTO.PWY:phosphopantothenate.biosynthesis.I",0.0365223012281836,0.177777577182841,"PANTO.PWY:phosphopantothenate.biosynthesis.I"
"PWY0.162:superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis",0.0365223012281836,0.177777577182841,"PWY0.162:superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis"
"PWY.7237:myo...chiro..and.scillo.inositol.degradation",0.0369740525790411,0.177777577182841,"PWY.7237:myo...chiro..and.scillo.inositol.degradation"
"PWY0.1297:superpathway.of.purine.deoxyribonucleosides.degradation",0.039591484216834,0.177777577182841,"PWY0.1297:superpathway.of.purine.deoxyribonucleosides.degradation"
"ARGININE.SYN4.PWY:L.ornithine.de.novo..biosynthesis",0.039591484216834,0.177777577182841,"ARGININE.SYN4.PWY:L.ornithine.de.novo..biosynthesis"
"PWY.7456:mannan.degradation",0.039591484216834,0.177777577182841,"PWY.7456:mannan.degradation"
"PWY.5941:glycogen.degradation.II.(eukaryotic)",0.039591484216834,0.177777577182841,"PWY.5941:glycogen.degradation.II.(eukaryotic)"
"FOLSYN.PWY:superpathway.of.tetrahydrofolate.biosynthesis.and.salvage",0.039591484216834,0.177777577182841,"FOLSYN.PWY:superpathway.of.tetrahydrofolate.biosynthesis.and.salvage"
"PWY.6612:superpathway.of.tetrahydrofolate.biosynthesis",0.039591484216834,0.177777577182841,"PWY.6612:superpathway.of.tetrahydrofolate.biosynthesis"
"RHAMCAT.PWY:L.rhamnose.degradation.I",0.0476729153199741,0.177777577182841,"RHAMCAT.PWY:L.rhamnose.degradation.I"
"PWY0.1061:superpathway.of.L.alanine.biosynthesis",0.0489378274831143,0.177777577182841,"PWY0.1061:superpathway.of.L.alanine.biosynthesis"
