"","Intercept::Est","Intercept::SE","Intercept::t.val","Experiment2:Est","Experiment2:SE","Experiment2:t.val","Experiment3:Est","Experiment3:SE","Experiment3:t.val","GroupsDY:Est","GroupsDY:SE","GroupsDY:t.val","(Intercept):pval","Experiment2:pval","Experiment3:pval","GroupsDY:pval","(Intercept):pval.padj","Experiment2:pval.padj","Experiment3:pval.padj","GroupsDY:pval.padj","Pathway"
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",9.18512336326824,0.260779629872991,35.2597286814594,3.31947756701566,0.335235472448483,9.91357442666589,1.66151700803527,0.308371783836596,5.39353028596379,-0.251870312439913,0.264073818938595,-0.954151474933648,2.50659819909768e-23,3.49777560113441e-10,1.41967761104259e-05,0.355766063477752,8.60781871069626e-21,1.22976310296201e-07,0.00397259297668602,1,"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)"
"ARO-PWY: chorismate biosynthesis I",8.89170809144981,0.247549336955797,35.9580664990734,2.93143193371563,0.318227765600799,9.22294051127132,1.74684665426718,0.292726968980685,5.97387095020897,-0.332066123148821,0.250676399906973,-1.32535758776319,1.5242584249337e-23,1.53516908807819e-09,3.22075786664836e-06,0.203556793405197,5.29071075551678e-21,5.1900533473394e-07,0.000938625590372722,1,"ARO-PWY: chorismate biosynthesis I"
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",6.44986409275668,0.878394712640017,7.67924641338306,4.10450145585042,1.12918737798479,3.78893855650385,-0.780750473242527,1.0387013149047,-0.733654997068704,0.479256690278056,0.889490664647741,0.521014703129148,2.8905178167453e-05,0.00385485857782863,0.471853743397768,0.608545282428517,0.00686479143102445,0.388436420048813,1,1,"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis"
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",3.07392655510728,1.48864778889793,2.12647520244599,-8.3211178537005,1.91367533217085,-4.43566957498692,-8.67835267517406,1.76032527690309,-5.0159950582263,-0.668194087921762,1.50745250639489,-0.445900825072429,0.0652062723208023,0.00075091365839631,0.000175099787481358,0.650335074475278,0.989261630915223,0.171414120412084,0.0491468661841847,1,"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",9.12599031989695,0.713122662013734,13.8721616412501,3.30933452052204,0.916728091953832,3.91580412245934,-16.9259289118635,0.843267196469981,-21.553447146914,-0.273498152748956,0.722130884307721,-0.402392990157453,6.34780877670349e-09,0.00572729597594926,1.00976518813134e-13,0.620304075476341,1.7707446038819e-06,0.414096693581482,3.38049449544187e-11,1,"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",-8.57229326703108,0.932088043309983,-9.60508670650232,2.946614557427,1.1982108254191,2.59245886718766,19.4463044920446,1.1021936519668,18.6088406484477,-0.297045693270692,0.943862253749452,-0.370424951742018,4.7524621612019e-07,0.119341456837093,9.11978449325873e-13,0.649465411713187,0.00013278623456303,0.770520555064859,3.00847521910249e-10,1,"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis"
"CALVIN-PWY: Calvin-Benson-Bassham cycle",8.58513405911946,0.254253496441951,33.804057857162,2.76722736515519,0.326846046383717,8.4768443161628,1.70880081174533,0.300654634269869,5.69031662012306,-0.201265223652763,0.257465246869998,-0.781998994800834,7.25646307342638e-23,7.98110271523836e-09,6.79276261947703e-06,0.448259747784435,2.45363783053953e-20,2.63706193545123e-06,0.00193482557797135,1,"CALVIN-PWY: Calvin-Benson-Bassham cycle"
"CENTFERM-PWY: pyruvate fermentation to butanoate",4.78718379761096,1.79695077626317,2.69881770880584,-2.07783794318698,2.31000267444449,-0.883900695473884,-8.43149432643062,2.12489340755913,-3.99098134174537,-0.493723837159445,1.81965000166462,-0.26941784611951,0.016054430982779,0.397057472679965,0.000701670692487517,0.770543165384377,0.969530571492834,1,0.19076025567121,1,"CENTFERM-PWY: pyruvate fermentation to butanoate"
"CITRULBIO-PWY: L-citrulline biosynthesis",-1.35519551965739,2.32469854444014,-0.573743633063684,2.52656419184562,2.98842902425028,0.852285782572583,5.83592690704063,2.74895488340284,2.13014202996321,1.24704158147488,2.35406432170445,0.532598021827337,0.581882864885066,0.422758886209902,0.0468113839018825,0.607645758428925,1,1,1,1,"CITRULBIO-PWY: L-citrulline biosynthesis"
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)",9.23573796579844,0.667563592240373,14.9752203983202,3.06081945300156,0.858161338533619,3.86005264275526,-16.7922476005419,0.789393618910302,-22.7913028590699,-0.445930469847206,0.675996308734465,-0.720109431690257,2.41447756692958e-09,0.0053694889211862,5.56082957459125e-14,0.5326144425315,6.80491750888778e-07,0.467402678521097,1.86902611443163e-11,1,"COA-PWY-1: coenzyme A biosynthesis II (mammalian)"
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",-8.62082346820435,0.895713448578045,-10.1406126309429,3.07547523587723,1.15145082941779,2.84957617094563,18.6441970028119,1.05918071161833,18.6831424881277,-0.240671784059254,0.907028172238236,-0.292421159578102,2.12159937609466e-07,0.100654498640265,4.55818211757731e-12,0.66322165786845,6.06250644179986e-05,0.676800902571595,1.48167955889291e-09,0.998154065862808,"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)"
"COA-PWY: coenzyme A biosynthesis I",8.97045788535083,0.720968123652349,13.4700179082043,3.06619827028247,0.926813530913457,3.57488927723007,-16.7178893939528,0.852544450992121,-21.0404705753113,-0.235707610639008,0.730075450442945,-0.381011087232935,1.26197828853564e-08,0.00799129411089132,4.10610781487186e-13,0.654235757682997,3.43875484794196e-06,0.576558202168275,1.35379847956973e-10,1,"COA-PWY: coenzyme A biosynthesis I"
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",-8.68001321573364,0.897351890059031,-10.1383426507599,3.32278057959586,1.1535570664127,3.06508003745682,19.1906517419904,1.06111816786233,19.1141554807355,-0.308295323936055,0.908687310642574,-0.403864893107926,1.56619458721585e-07,0.0902857568167873,2.83376301485644e-12,0.623524424760404,4.4802110897758e-05,0.666339024069787,9.0951241430859e-10,1,"COA-PWY: coenzyme A biosynthesis I (prokaryotic)"
"COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I",2.07057491134621,1.56353580886619,1.38820183270554,-8.65096065678047,2.00994481750993,-4.39898812907244,-10.9345634673026,1.84888032361762,-6.04058697042969,1.93787441848754,1.58328651779907,1.23784920419393,0.244011888272554,0.00124254856560756,4.06250994168921e-05,0.293688640099541,1,0.241668375917346,0.0116314519855118,1,"COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I"
"COLANSYN-PWY: colanic acid building blocks biosynthesis",6.61027938366992,1.09588455064567,6.13670452342118,-9.68693515082243,1.40877328211418,-6.92519898014461,2.1211263126441,1.29588294118739,1.66628576117919,-1.32179647916133,1.10972785161845,-1.20844946963272,2.75208752525728e-05,7.60867325996437e-07,0.115505654378166,0.289026182086116,0.00656087435332022,0.000262548760893089,1,1,"COLANSYN-PWY: colanic acid building blocks biosynthesis"
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",8.73727253466149,0.240457851582348,36.377806993449,2.92596515782779,0.309111572550415,9.47777992466972,1.7551617128085,0.284341291020613,6.17975197885528,-0.356473820330745,0.243495334325179,-1.46492739562268,1.15281356878116e-23,9.03288028048996e-10,1.94209930969841e-06,0.161603319867966,4.03610597066528e-21,3.08700138738606e-07,0.000573351397004223,1,"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis"
"CRNFORCAT-PWY: creatinine degradation I",-6.58882010823262,1.47910906243595,-4.47484850273327,1.30449508253498,1.90141318012471,0.673919262544423,-1.06118603428049,1.7490457375616,-0.636795382983356,-0.428276226882579,1.49779328598011,-0.306906562967615,0.000405711764838206,0.52679325795125,0.559504842599246,0.675675798716848,0.0906896851740635,1,1,1,"CRNFORCAT-PWY: creatinine degradation I"
"DAPLYSINESYN-PWY: L-lysine biosynthesis I",3.39105185993389,2.03321721022809,1.68888087022149,1.5771080182834,2.61372612727906,0.621022376581539,-0.212584965251098,2.40427834931228,-0.0868202152418995,-3.19799651816599,2.05890097205102,-1.55972707133915,0.113401474674878,0.555552884707779,0.895533308596879,0.140778373492617,1,1,1,1,"DAPLYSINESYN-PWY: L-lysine biosynthesis I"
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",8.92905563720579,1.23181986161423,7.44639901699717,-12.056909481365,1.58351982277447,-7.7435030266809,-16.2053210377196,1.4566263794313,-11.3819299955256,-1.26603958060495,1.24738030826759,-1.05712463411025,3.92696378674889e-06,3.96219208376875e-07,2.11917579664989e-09,0.393557078004134,0.000994968594191679,0.000136779345123213,6.5787987420067e-07,1,"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II"
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",-8.48571973296297,0.900507957987383,-9.80569580365248,2.99963655659104,1.15761423116731,2.69622580392376,19.1434657884087,1.06485021663258,18.8702669508412,-0.312059317251268,0.911883246272498,-0.361889330218852,8.25695994927794e-08,0.0966914136266222,6.79466030354751e-13,0.642806614246807,2.50622693755941e-05,0.756334827384793,2.22925263407994e-10,1,"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis"
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I",9.9849366963754,0.71120506231744,15.4912463013827,2.92757558736733,0.914262993585271,3.54633323659762,-17.562339895852,0.840999635773931,-22.8317434323216,-0.581142400121408,0.720189061339254,-0.822267697688608,7.77539845079875e-10,0.011558195633427,4.55954718425744e-14,0.474568113512373,2.20097769973227e-07,0.582697785811942,1.53453603990439e-11,1,"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I"
"FAO-PWY: fatty acid &beta;-oxidation I",2.49480324705497,1.46183773171033,1.75311379868656,-6.61757301308906,1.87921066868454,-3.56936874966926,-10.3859597507758,1.72862239748829,-6.11614909734892,-0.0827201954861757,1.48030378242845,-0.0522330287026011,0.13232479246255,0.004884578477594,2.98246746023387e-05,0.793422389610475,0.996199135311686,0.502593092921251,0.00853851839304759,1,"FAO-PWY: fatty acid &beta;-oxidation I"
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",2.45650348582664,1.46790918653963,1.73109384688504,-7.97985579150609,1.8870155997259,-4.32779043096075,4.23993174645785,1.73580188983247,2.4992794789286,0.157382234496068,1.48645193235897,0.110527220544193,0.124771514529393,0.00181692648888671,0.0281778599287579,0.820871121623257,1,0.24572137943026,0.98784346601512,1,"FASYN-ELONG-PWY: fatty acid elongation -- saturated"
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",2.46718490334561,1.25147778843141,2.07621935357139,-7.5738359428055,1.60879033330908,-4.85020256969552,-9.96449369908242,1.479871868207,-6.95764980239198,-0.912196609996998,1.26728655558284,-0.759431560462773,0.0924797001276905,0.000816715494116852,1.27753246164913e-05,0.511455649493396,0.954453719083392,0.148318413961054,0.00368049080413766,1,"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)"
"FERMENTATION-PWY: mixed acid fermentation",5.03886637533979,1.55688476514695,3.30689060815136,-0.108649485317932,2.00139481770903,-0.0238262066777423,-0.918481468231347,1.84101546769666,-0.498628974224004,0.762829416465783,1.57655145756557,0.478955647650288,0.00626059296517561,0.911501299703204,0.624775806928351,0.641592481922466,0.591690687502452,1,1,1,"FERMENTATION-PWY: mixed acid fermentation"
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",-4.65897369762401,1.94596315641087,-2.39825447722509,-0.494487132449886,2.50155995092277,-0.206072301708618,7.40438869282908,2.30110047366419,3.25017350228843,-1.19329440199482,1.97054471807287,-0.613539607483014,0.0332522706051866,0.760533603045241,0.00675016190162561,0.573319025090713,0.993251432583987,1,0.64585478519553,1,"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation"
"FUCCAT-PWY: fucose degradation",0.133893603062951,1.76930156891537,0.101604777255354,-1.89989651181413,2.27445927294268,-0.840717205184648,6.58868314767327,2.09219823349334,3.16565548825999,-0.861186665773907,1.79165152732628,-0.493220391582657,0.842026329574946,0.444965350624088,0.00462414339189914,0.634265911376277,1,1,0.831355828234711,1,"FUCCAT-PWY: fucose degradation"
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",5.64366273346561,1.14755751038769,5.0991098173753,1.76211069273636,1.47519951747759,1.28003106489249,-13.0607818248609,1.35698619062265,-9.93498797321112,-1.02370818915518,1.16205354830565,-0.894520818905684,0.000700840421775636,0.257890274521354,1.14976209943454e-07,0.441123272240643,0.0631548188950473,1,3.45466017007794e-05,1,"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation"
"GALACTARDEG-PWY: D-galactarate degradation I",-5.24565659894685,1.92159967923376,-2.7320891245022,-0.590853798043148,2.47024039660815,-0.260203065865845,0.0703441194372094,2.27229067390634,0.0248421928216473,0.488539187045049,1.94587347951058,0.256985557195543,0.0153658318299402,0.743831107756075,0.845766537142199,0.743122059925528,0.940970833345618,1,1,1,"GALACTARDEG-PWY: D-galactarate degradation I"
"GALACTITOLCAT-PWY: galactitol degradation",-9.11633322221843,1.48250915258605,-6.24456136764643,3.17803380136164,1.90578403849424,1.69480988764416,3.98490967292114,1.75306634248884,2.33228162336692,0.594063117932335,1.50123632633993,0.416789839011481,2.24852838620476e-05,0.197720697066348,0.0768775497518078,0.656344724976627,0.00582891373628059,0.984252100138854,0.929517030730768,1,"GALACTITOLCAT-PWY: galactitol degradation"
"GALACTUROCAT-PWY: D-galacturonate degradation I",5.69706370194034,1.46391929024176,3.95068621991804,2.15104965595732,1.88188653818421,1.1740274728179,-3.81272844013359,1.7310838394261,-2.21600521337809,-0.900800502827604,1.48241163537312,-0.610110556486397,0.00119619083660918,0.26873778605643,0.0377773585753375,0.556855316544598,0.225028671080773,1,1,1,"GALACTUROCAT-PWY: D-galacturonate degradation I"
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",7.02568436172451,1.28795050679278,5.54751062098109,-6.42273771254,1.655676468462,-3.8832105453003,2.07577811111188,1.52300083969891,1.39213712750376,-2.64259220480839,1.30422000022899,-2.03889101192018,3.99182231926479e-05,0.000696293526964953,0.184155046888229,0.0607798446619719,0.00984431368566371,0.226301102545931,1,1,"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"GLUCARDEG-PWY: D-glucarate degradation I",-5.05342972690709,1.71497375470012,-2.95066455507902,-0.787400711123472,2.20462018898352,-0.37786574704846,-1.80849233443831,2.02795561995157,-0.915358375851559,0.302468671352432,1.73663743983259,0.181046037553573,0.0105358449901255,0.690636919056477,0.420467914615789,0.773439540282904,0.859377722564019,1,1,1,"GLUCARDEG-PWY: D-glucarate degradation I"
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",-5.16208729788904,1.91442066876192,-2.70410745350951,-0.560325720468202,2.46101168895022,-0.234074274061449,0.0614952143972452,2.26380149756055,0.0256498712215017,0.271475740733435,1.93860378320638,0.14877644817687,0.0186681023016931,0.755730921679546,0.839302222449705,0.797155348922481,0.942137807515805,1,1,1,"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation"
"GLUCONEO-PWY: gluconeogenesis I",9.95811849499021,1.32211079750145,7.68284756122442,-2.51009143027641,1.69958994897532,-1.45958188180045,-0.254307429578093,1.56339536663086,-0.163506399709952,-2.49715584975884,1.33881180645206,-1.87390908138053,5.50478078561461e-07,0.159637011027211,0.87144967387995,0.0728091089759881,0.000144953792018582,1,1,1,"GLUCONEO-PWY: gluconeogenesis I"
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",-1.13360328825894,1.51148925744349,-0.733367808849193,-4.79612782229425,1.94303832537326,-2.53627457463662,-7.11409243355671,1.78733530220404,-4.09346158364086,0.480938595428582,1.53058251019131,0.332362630387768,0.500836120788671,0.0443052861982989,0.00279920099925656,0.689414552033274,1,0.9138658775262,0.293402418055252,1,"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation"
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation",5.60220444317432,1.16279282177858,5.00459479074707,1.43779761583567,1.49478470062442,1.03541800192087,-13.3192053321637,1.37500193883582,-9.99311504747195,-0.892748367253283,1.17748131336411,-0.777252529945917,0.000394894865555878,0.346409567841503,1.21281359330427e-08,0.491134613970329,0.0803049479382482,1,3.75996271549141e-06,1,"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation"
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation",-9.17574294513988,1.35433461165213,-6.94496541887465,3.11452848433723,1.74101406467851,1.85361174534413,13.0173512019174,1.60150001098711,8.37347328515156,0.498624975644689,1.37144267439094,0.366268439868816,2.64811872092464e-05,0.20151014829307,2.96130183358827e-06,0.683968185977327,0.00655485863833662,0.957078343747948,0.000793281750073181,1,"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation"
"GLUDEG-I-PWY: GABA shunt",2.9492769593701,1.28308210414507,2.39481846981622,-8.00005287419749,1.64941807603131,-4.97482803915497,-10.1133218987975,1.5172439559667,-6.85899332441031,-1.59394415190902,1.29929009953108,-1.26206792371146,0.0545549109797392,0.000372935019656654,2.87884179704882e-05,0.312440786418658,0.938251794518908,0.101345521324308,0.00818777807868432,1,"GLUDEG-I-PWY: GABA shunt"
"GLUTORN-PWY: L-ornithine biosynthesis",8.57702250334224,0.697454178873166,13.2821678995151,3.3413205362198,0.896586061110636,4.03365255487434,-16.3780822479736,0.824739222876248,-21.3114290826791,-0.132403710946614,0.70626447563953,-0.166075501843509,1.70556274802549e-07,0.00456619702626156,7.98710403371317e-12,0.705813575576709,4.30469283332612e-05,0.402626752437782,2.55831980253141e-09,1,"GLUTORN-PWY: L-ornithine biosynthesis"
"GLUTORN-PWY: L-ornithine biosynthesis I",-8.72961184542249,0.945364983334755,-9.63144972522892,3.16735727223762,1.2152784977064,2.76535126929703,18.1236679339669,1.11789362700443,17.1200997067305,-0.0420314528110308,0.957306909138631,-0.118611185061392,4.29029457840388e-07,0.104812224614893,3.5131548620629e-12,0.712148264345922,0.000119953725528388,0.706749010608089,1.14785488779221e-09,1,"GLUTORN-PWY: L-ornithine biosynthesis I"
"GLYCOCAT-PWY: glycogen degradation I",-8.82290925323833,1.38755225460355,-6.44636825421457,3.08517268024081,1.78371575972221,1.74756399590764,1.78292876618383,1.64077985741057,1.11393952756181,0.414463596389007,1.40507992525519,0.317556918558365,1.24909420051236e-05,0.191628399430816,0.36359580958724,0.686287814457203,0.00334400607489785,0.984453417390351,1,1,"GLYCOCAT-PWY: glycogen degradation I"
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",-4.3690961899507,1.65106899291349,-2.65323665669207,-2.1142711416662,2.12246981926452,-1.02934827141828,-4.28598072946294,1.95238827062526,-2.25527540990819,1.58617419602844,1.67192542800262,0.967296909079179,0.0247167259443357,0.379866706027232,0.0781802992973079,0.407428071949053,0.927042453243032,1,0.94877007399436,1,"GLYCOCAT-PWY: glycogen degradation I (bacterial)"
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",7.9954978950036,0.317914468957336,25.1690954744682,3.605042742676,0.40868302194856,8.82926371089605,2.66901641180338,0.37593370290304,7.10591584920441,-0.445526368949621,0.321930389863223,-1.38439891920498,1.11121790358954e-19,3.37613810200795e-09,1.82619429434726e-07,0.182039712746884,3.64180185811143e-17,1.12696738480151e-06,5.5516383113841e-05,1,"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)"
"GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff",4.45410281028412,1.37246589011772,3.37141254250355,-10.6216332714273,1.76432204968282,-6.19011816794937,-12.8246543033814,1.62294023883925,-8.14159455522626,1.08128602963162,1.38980298861097,0.808048755309267,0.0131436939658711,0.000105323938819513,8.52704005179471e-06,0.475473181956612,0.538488046477213,0.0247610389176016,0.0024224580742693,1,"GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff"
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",-5.4990388383101,1.46244695287052,-3.78552539803942,0.817161501224821,1.87999383009774,0.434894234130813,-1.66024738111395,1.72934280121005,-0.979074379413387,-1.86837428123068,1.48092069931889,-1.29993374028962,0.00207845364353174,0.638693989138789,0.406744332837063,0.303117419001388,0.351476624787677,1,1,1,"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",8.9019184740039,0.251536587842126,35.420752738143,3.44413934357505,0.323353426432897,10.6621475984048,0.854420269488206,0.297441891189219,2.87517332177578,-0.311386170581374,0.254714018064235,-1.22268253836994,2.07461512048425e-23,7.51031333314717e-11,0.00864703497876606,0.239240598968269,7.15332923343345e-21,2.71453525560933e-08,0.987783339312214,1,"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)"
"GLYOXYLATE-BYPASS: glyoxylate cycle",-1.61382437532282,1.46903912562338,-1.07992041315917,-3.18971631008309,1.88846815053581,-1.7458285265686,-5.77315408421332,1.73713804224228,-3.39828625918482,-1.29834735719339,1.48759614492327,-0.896742268405679,0.332006571825136,0.159925136485582,0.00949967732253206,0.445763668287995,1,0.995224472930198,0.575765267822359,1,"GLYOXYLATE-BYPASS: glyoxylate cycle"
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",-3.40066279459864,1.66663192492926,-2.03441210891533,-1.75017212678641,2.14247616281799,-0.85541833783547,-4.06622924341262,1.97079143006592,-2.11636233658943,-1.15684843451106,1.68768495221579,-0.698185470142634,0.0746385379758419,0.478609009185622,0.0858488951524416,0.518021864886763,1,1,0.964728505046648,1,"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"
