"","Unadjusted_p","FDR","Pathway"
"PWY.4242:pantothenate.and.coenzyme.A.biosynthesis.III",0.00268320135147176,0.0416100127053474,"PWY.4242:pantothenate.and.coenzyme.A.biosynthesis.III"
"PANTOSYN.PWY:pantothenate.and.coenzyme.A.biosynthesis.I",0.00268320135147176,0.0416100127053474,"PANTOSYN.PWY:pantothenate.and.coenzyme.A.biosynthesis.I"
"PWY4FS.7:phosphatidylglycerol.biosynthesis.I.(plastidic)",0.0029571715952706,0.0416100127053474,"PWY4FS.7:phosphatidylglycerol.biosynthesis.I.(plastidic)"
"PWY4FS.8:phosphatidylglycerol.biosynthesis.II.(non.plastidic)",0.0029571715952706,0.0416100127053474,"PWY4FS.8:phosphatidylglycerol.biosynthesis.II.(non.plastidic)"
"PWY.6387:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I.(meso.diaminopimelate.containing)",0.00307045895281189,0.0416100127053474,"PWY.6387:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I.(meso.diaminopimelate.containing)"
"PWY.7208:superpathway.of.pyrimidine.nucleobases.salvage",0.00307045895281189,0.0416100127053474,"PWY.7208:superpathway.of.pyrimidine.nucleobases.salvage"
"PWY.6700:queuosine.biosynthesis",0.00373021096619949,0.0458116534286375,"PWY.6700:queuosine.biosynthesis"
"COA.PWY:coenzyme.A.biosynthesis.I",0.00373021096619949,0.0458116534286375,"COA.PWY:coenzyme.A.biosynthesis.I"
"PWY66.400:glycolysis.VI.(metazoan)",0.00373021096619949,0.0458116534286375,"PWY66.400:glycolysis.VI.(metazoan)"
"PHOSLIPSYN.PWY:superpathway.of.phospholipid.biosynthesis.I.(bacteria)",0.00408652658854093,0.0480319868341189,"PHOSLIPSYN.PWY:superpathway.of.phospholipid.biosynthesis.I.(bacteria)"
"PWY0.1586:peptidoglycan.maturation.(meso.diaminopimelate.containing)",0.00415543906452937,0.0480319868341189,"PWY0.1586:peptidoglycan.maturation.(meso.diaminopimelate.containing)"
"PEPTIDOGLYCANSYN.PWY:peptidoglycan.biosynthesis.I.(meso.diaminopimelate.containing)",0.0048480930833872,0.0480608787550318,"PEPTIDOGLYCANSYN.PWY:peptidoglycan.biosynthesis.I.(meso.diaminopimelate.containing)"
"PWY.5659:GDP.mannose.biosynthesis",0.0048480930833872,0.0480608787550318,"PWY.5659:GDP.mannose.biosynthesis"
"PWY.5910:superpathway.of.geranylgeranyldiphosphate.biosynthesis.I.(via.mevalonate)",0.00492320264995417,0.0480608787550318,"PWY.5910:superpathway.of.geranylgeranyldiphosphate.biosynthesis.I.(via.mevalonate)"
"P124.PWY:Bifidobacterium.shunt",0.00492320264995417,0.0480608787550318,"P124.PWY:Bifidobacterium.shunt"
"GOLPDLCAT.PWY:superpathway.of.glycerol.degradation.to.1.3.propanediol",0.00492320264995417,0.0480608787550318,"GOLPDLCAT.PWY:superpathway.of.glycerol.degradation.to.1.3.propanediol"
"PWY.5686:UMP.biosynthesis",0.00513627711885836,0.0480608787550318,"PWY.5686:UMP.biosynthesis"
"PWY.4981:L.proline.biosynthesis.II.(from.arginine)",0.00513627711885836,0.0480608787550318,"PWY.4981:L.proline.biosynthesis.II.(from.arginine)"
"PWY.6897:thiamin.salvage.II",0.00513627711885836,0.0480608787550318,"PWY.6897:thiamin.salvage.II"
"PWY.5913:TCA.cycle.VI.(obligate.autotrophs)",0.00700509795013168,0.0607487142013996,"PWY.5913:TCA.cycle.VI.(obligate.autotrophs)"
"PWY.6386:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II.(lysine.containing)",0.00711053652230123,0.0607487142013996,"PWY.6386:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II.(lysine.containing)"
"PWY.841:superpathway.of.purine.nucleotides.de.novo.biosynthesis.I",0.00711053652230123,0.0607487142013996,"PWY.841:superpathway.of.purine.nucleotides.de.novo.biosynthesis.I"
"PWY.6125:superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II",0.00711053652230123,0.0607487142013996,"PWY.6125:superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II"
"PWY.3841:folate.transformations.II",0.00946340659650707,0.0791301870729209,"PWY.3841:folate.transformations.II"
"UDPNAGSYN.PWY:UDP.N.acetyl.D.glucosamine.biosynthesis.I",0.0103425985778927,0.0829518620635067,"UDPNAGSYN.PWY:UDP.N.acetyl.D.glucosamine.biosynthesis.I"
"METH.ACETATE.PWY:methanogenesis.from.acetate",0.0103425985778927,0.0829518620635067,"METH.ACETATE.PWY:methanogenesis.from.acetate"
"1CMET2.PWY:N10.formyl.tetrahydrofolate.biosynthesis",0.0126638634865101,0.0995379670039697,"1CMET2.PWY:N10.formyl.tetrahydrofolate.biosynthesis"
"PWY.1042:glycolysis.IV.(plant.cytosol)",0.0167876330268719,0.126875764991551,"PWY.1042:glycolysis.IV.(plant.cytosol)"
"METSYN.PWY:L.homoserine.and.L.methionine.biosynthesis",0.0167876330268719,0.126875764991551,"METSYN.PWY:L.homoserine.and.L.methionine.biosynthesis"
"PWY.5347:superpathway.of.L.methionine.biosynthesis.(transsulfuration)",0.0179015074410279,0.132741366496679,"PWY.5347:superpathway.of.L.methionine.biosynthesis.(transsulfuration)"
"PWY.6385:peptidoglycan.biosynthesis.III.(mycobacteria)",0.0202003878474467,0.14035847996048,"PWY.6385:peptidoglycan.biosynthesis.III.(mycobacteria)"
"PWY.7228:superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I",0.0202003878474467,0.14035847996048,"PWY.7228:superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I"
"PWY.6143:CMP.pseudaminate.biosynthesis",0.0202003878474467,0.14035847996048,"PWY.6143:CMP.pseudaminate.biosynthesis"
"GALACTARDEG.PWY:D.galactarate.degradation.I",0.0210716293070441,0.14035847996048,"GALACTARDEG.PWY:D.galactarate.degradation.I"
"GLUCARGALACTSUPER.PWY:superpathway.of.D.glucarate.and.D.galactarate.degradation",0.0210716293070441,0.14035847996048,"GLUCARGALACTSUPER.PWY:superpathway.of.D.glucarate.and.D.galactarate.degradation"
"GLUCARDEG.PWY:D.glucarate.degradation.I",0.0210716293070441,0.14035847996048,"GLUCARDEG.PWY:D.glucarate.degradation.I"
"HOMOSER.METSYN.PWY:L.methionine.biosynthesis.I",0.0233964554428034,0.153246783150363,"HOMOSER.METSYN.PWY:L.methionine.biosynthesis.I"
"OANTIGEN.PWY:O.antigen.building.blocks.biosynthesis.(E..coli)",0.0273109243697479,0.175953988152638,"OANTIGEN.PWY:O.antigen.building.blocks.biosynthesis.(E..coli)"
"PWY.5384:sucrose.degradation.IV.(sucrose.phosphorylase)",0.0302999549564887,0.177777577182841,"PWY.5384:sucrose.degradation.IV.(sucrose.phosphorylase)"
"MET.SAM.PWY:superpathway.of.S.adenosyl.L.methionine.biosynthesis",0.0302999549564887,0.177777577182841,"MET.SAM.PWY:superpathway.of.S.adenosyl.L.methionine.biosynthesis"
"PANTO.PWY:phosphopantothenate.biosynthesis.I",0.0365223012281836,0.177777577182841,"PANTO.PWY:phosphopantothenate.biosynthesis.I"
"PWY0.162:superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis",0.0365223012281836,0.177777577182841,"PWY0.162:superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis"
"PWY.7237:myo...chiro..and.scillo.inositol.degradation",0.0369740525790411,0.177777577182841,"PWY.7237:myo...chiro..and.scillo.inositol.degradation"
"PWY0.1297:superpathway.of.purine.deoxyribonucleosides.degradation",0.039591484216834,0.177777577182841,"PWY0.1297:superpathway.of.purine.deoxyribonucleosides.degradation"
"ARGININE.SYN4.PWY:L.ornithine.de.novo..biosynthesis",0.039591484216834,0.177777577182841,"ARGININE.SYN4.PWY:L.ornithine.de.novo..biosynthesis"
"PWY.7456:mannan.degradation",0.039591484216834,0.177777577182841,"PWY.7456:mannan.degradation"
"PWY.5941:glycogen.degradation.II.(eukaryotic)",0.039591484216834,0.177777577182841,"PWY.5941:glycogen.degradation.II.(eukaryotic)"
"FOLSYN.PWY:superpathway.of.tetrahydrofolate.biosynthesis.and.salvage",0.039591484216834,0.177777577182841,"FOLSYN.PWY:superpathway.of.tetrahydrofolate.biosynthesis.and.salvage"
"PWY.6612:superpathway.of.tetrahydrofolate.biosynthesis",0.039591484216834,0.177777577182841,"PWY.6612:superpathway.of.tetrahydrofolate.biosynthesis"
"RHAMCAT.PWY:L.rhamnose.degradation.I",0.0476729153199741,0.177777577182841,"RHAMCAT.PWY:L.rhamnose.degradation.I"
"PWY0.1061:superpathway.of.L.alanine.biosynthesis",0.0489378274831143,0.177777577182841,"PWY0.1061:superpathway.of.L.alanine.biosynthesis"
"PWY0.1479:tRNA.processing",0.0561269397312067,0.177777577182841,"PWY0.1479:tRNA.processing"
"PWY.5138:unsaturated..even.numbered.fatty.acid.&beta;.oxidation",0.0595556459364914,0.177777577182841,"PWY.5138:unsaturated..even.numbered.fatty.acid.&beta;.oxidation"
"PWY.5104:L.isoleucine.biosynthesis.IV",0.0597636373878614,0.177777577182841,"PWY.5104:L.isoleucine.biosynthesis.IV"
"PWY.7357:thiamin.formation.from.pyrithiamine.and.oxythiamine.(yeast)",0.0597636373878614,0.177777577182841,"PWY.7357:thiamin.formation.from.pyrithiamine.and.oxythiamine.(yeast)"
"HISDEG.PWY:L.histidine.degradation.I",0.0615707821590175,0.177777577182841,"HISDEG.PWY:L.histidine.degradation.I"
"PWY.5154:L.arginine.biosynthesis.III.(via.N.acetyl.L.citrulline)",0.0615707821590175,0.177777577182841,"PWY.5154:L.arginine.biosynthesis.III.(via.N.acetyl.L.citrulline)"
"PWY.6545:pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III",0.0615707821590175,0.177777577182841,"PWY.6545:pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III"
"PWY.6590:superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation",0.0615707821590175,0.177777577182841,"PWY.6590:superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation"
"CENTFERM.PWY:pyruvate.fermentation.to.butanoate",0.0615707821590175,0.177777577182841,"CENTFERM.PWY:pyruvate.fermentation.to.butanoate"
"PWY66.399:gluconeogenesis.III",0.0628204308452864,0.177777577182841,"PWY66.399:gluconeogenesis.III"
"PWY.7115:C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type",0.0633665100295523,0.177777577182841,"PWY.7115:C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type"
"PWY.5686:UMP.biosynthesis.I",0.0705681985763948,0.177777577182841,"PWY.5686:UMP.biosynthesis.I"
"PWY.7790:UMP.biosynthesis.II",0.0705681985763948,0.177777577182841,"PWY.7790:UMP.biosynthesis.II"
"PWY.7791:UMP.biosynthesis.III",0.0705681985763948,0.177777577182841,"PWY.7791:UMP.biosynthesis.III"
"PWY.3841:folate.transformations.II.(plants)",0.0705681985763948,0.177777577182841,"PWY.3841:folate.transformations.II.(plants)"
"DTDPRHAMSYN.PWY:dTDP.&beta;.L.rhamnose.biosynthesis",0.0705681985763948,0.177777577182841,"DTDPRHAMSYN.PWY:dTDP.&beta;.L.rhamnose.biosynthesis"
"PWY.7953:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III.(meso.diaminopimelate.containing)",0.0705681985763948,0.177777577182841,"PWY.7953:UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III.(meso.diaminopimelate.containing)"
"PWY.1042:glycolysis.IV",0.0705681985763948,0.177777577182841,"PWY.1042:glycolysis.IV"
"BRANCHED.CHAIN.AA.SYN.PWY:superpathway.of.branched.chain.amino.acid.biosynthesis",0.0705681985763948,0.177777577182841,"BRANCHED.CHAIN.AA.SYN.PWY:superpathway.of.branched.chain.amino.acid.biosynthesis"
"COA.PWY:coenzyme.A.biosynthesis.I.(prokaryotic)",0.0705681985763948,0.177777577182841,"COA.PWY:coenzyme.A.biosynthesis.I.(prokaryotic)"
"PWY.6700:queuosine.biosynthesis.I.(de.novo)",0.0705681985763948,0.177777577182841,"PWY.6700:queuosine.biosynthesis.I.(de.novo)"
"PANTOSYN.PWY:superpathway.of.coenzyme.A.biosynthesis.I.(bacteria)",0.0705681985763948,0.177777577182841,"PANTOSYN.PWY:superpathway.of.coenzyme.A.biosynthesis.I.(bacteria)"
"COA.PWY.1:superpathway.of.coenzyme.A.biosynthesis.III.(mammals)",0.0705681985763948,0.177777577182841,"COA.PWY.1:superpathway.of.coenzyme.A.biosynthesis.III.(mammals)"
"1CMET2.PWY:folate.transformations.III.(E..coli)",0.0705681985763948,0.177777577182841,"1CMET2.PWY:folate.transformations.III.(E..coli)"
"PWY.6151:S.adenosyl.L.methionine.salvage.I",0.0705681985763948,0.177777577182841,"PWY.6151:S.adenosyl.L.methionine.salvage.I"
"PWY.5695:inosine.5'.phosphate.degradation",0.0705681985763948,0.177777577182841,"PWY.5695:inosine.5'.phosphate.degradation"
"NONMEVIPP.PWY:methylerythritol.phosphate.pathway.I",0.0705681985763948,0.177777577182841,"NONMEVIPP.PWY:methylerythritol.phosphate.pathway.I"
"PWY.7851:coenzyme.A.biosynthesis.II.(eukaryotic)",0.0705681985763948,0.177777577182841,"PWY.7851:coenzyme.A.biosynthesis.II.(eukaryotic)"
"PWY66.429:fatty.acid.biosynthesis.initiation.(mitochondria)",0.0705681985763948,0.177777577182841,"PWY66.429:fatty.acid.biosynthesis.initiation.(mitochondria)"
"P41.PWY:pyruvate.fermentation.to.acetate.and.(S).lactate.I",0.0705681985763948,0.177777577182841,"P41.PWY:pyruvate.fermentation.to.acetate.and.(S).lactate.I"
"PWY.7977:L.methionine.biosynthesis.IV",0.0705681985763948,0.177777577182841,"PWY.7977:L.methionine.biosynthesis.IV"
"PWY.8178:pentose.phosphate.pathway.(non.oxidative.branch).II",0.0705681985763948,0.177777577182841,"PWY.8178:pentose.phosphate.pathway.(non.oxidative.branch).II"
"PWY.5981:CDP.diacylglycerol.biosynthesis.III",0.0705681985763948,0.177777577182841,"PWY.5981:CDP.diacylglycerol.biosynthesis.III"
"PWY.7238:sucrose.biosynthesis.II",0.0705681985763948,0.177777577182841,"PWY.7238:sucrose.biosynthesis.II"
"PWY.6317:D.galactose.degradation.I.(Leloir.pathway)",0.0705681985763948,0.177777577182841,"PWY.6317:D.galactose.degradation.I.(Leloir.pathway)"
"PWY.5941:glycogen.degradation.II",0.0705681985763948,0.177777577182841,"PWY.5941:glycogen.degradation.II"
"PYRIDNUCSYN.PWY:NAD.de.novo.biosynthesis.I.(from.aspartate)",0.0705681985763948,0.177777577182841,"PYRIDNUCSYN.PWY:NAD.de.novo.biosynthesis.I.(from.aspartate)"
"NONOXIPENT.PWY:pentose.phosphate.pathway.(non.oxidative.branch).I",0.0705681985763948,0.177777577182841,"NONOXIPENT.PWY:pentose.phosphate.pathway.(non.oxidative.branch).I"
"PWY.6270:isoprene.biosynthesis.I",0.0705681985763948,0.177777577182841,"PWY.6270:isoprene.biosynthesis.I"
"PWY.7560:methylerythritol.phosphate.pathway.II",0.0705681985763948,0.177777577182841,"PWY.7560:methylerythritol.phosphate.pathway.II"
"GLUTORN.PWY:L.ornithine.biosynthesis.I",0.0705681985763948,0.177777577182841,"GLUTORN.PWY:L.ornithine.biosynthesis.I"
"PWY.7237:myo...chiro..and.scyllo.inositol.degradation",0.0705681985763948,0.177777577182841,"PWY.7237:myo...chiro..and.scyllo.inositol.degradation"
"PWY.7357:thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine.(yeast)",0.0705681985763948,0.177777577182841,"PWY.7357:thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine.(yeast)"
"PWY.6897:thiamine.diphosphate.salvage.II",0.0705681985763948,0.177777577182841,"PWY.6897:thiamine.diphosphate.salvage.II"
"PWY.6936:seleno.amino.acid.biosynthesis.(plants)",0.0705681985763948,0.177777577182841,"PWY.6936:seleno.amino.acid.biosynthesis.(plants)"
"PWY.8187:L.arginine.degradation.XIII.(reductive.Stickland.reaction)",0.0705681985763948,0.177777577182841,"PWY.8187:L.arginine.degradation.XIII.(reductive.Stickland.reaction)"
"PWY.6823:molybdopterin.biosynthesis",0.0705681985763948,0.177777577182841,"PWY.6823:molybdopterin.biosynthesis"
"PWY66.409:superpathway.of.purine.nucleotide.salvage",0.0705681985763948,0.177777577182841,"PWY66.409:superpathway.of.purine.nucleotide.salvage"
"PWY.5121:superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II.(via.MEP)",0.0705681985763948,0.177777577182841,"PWY.5121:superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II.(via.MEP)"
"PWY.6292:superpathway.of.L.cysteine.biosynthesis.(mammalian)",0.0705681985763948,0.177777577182841,"PWY.6292:superpathway.of.L.cysteine.biosynthesis.(mammalian)"
"GLYCOCAT.PWY:glycogen.degradation.I",0.0705681985763948,0.177777577182841,"GLYCOCAT.PWY:glycogen.degradation.I"
"PWY.7282:4.amino.2.methyl.5.diphosphomethylpyrimidine.biosynthesis.II",0.0705681985763948,0.177777577182841,"PWY.7282:4.amino.2.methyl.5.diphosphomethylpyrimidine.biosynthesis.II"
"PWY.8004:Entner.Doudoroff.pathway.I",0.0705681985763948,0.177777577182841,"PWY.8004:Entner.Doudoroff.pathway.I"
"PWY0.1477:ethanolamine.utilization",0.0705681985763948,0.177777577182841,"PWY0.1477:ethanolamine.utilization"
"PWY.7356:thiamine.diphosphate.salvage.IV.(yeast)",0.0705681985763948,0.177777577182841,"PWY.7356:thiamine.diphosphate.salvage.IV.(yeast)"
"PWY.922:mevalonate.pathway.I.(eukaryotes.and.bacteria)",0.0705681985763948,0.177777577182841,"PWY.922:mevalonate.pathway.I.(eukaryotes.and.bacteria)"
"PWY.6902:chitin.degradation.II.(Vibrio)",0.0705681985763948,0.177777577182841,"PWY.6902:chitin.degradation.II.(Vibrio)"
"PWY.I9:L.cysteine.biosynthesis.VI.(from.L.methionine)",0.0705681985763948,0.177777577182841,"PWY.I9:L.cysteine.biosynthesis.VI.(from.L.methionine)"
"THISYNARA.PWY:superpathway.of.thiamine.diphosphate.biosynthesis.III.(eukaryotes)",0.0705681985763948,0.177777577182841,"THISYNARA.PWY:superpathway.of.thiamine.diphosphate.biosynthesis.III.(eukaryotes)"
"PWY.7392:taxadiene.biosynthesis.(engineered)",0.0705681985763948,0.177777577182841,"PWY.7392:taxadiene.biosynthesis.(engineered)"
"PWY.7456:&beta;.(1.4).mannan.degradation",0.0705681985763948,0.177777577182841,"PWY.7456:&beta;.(1.4).mannan.degradation"
"GLUCUROCAT.PWY:superpathway.of.&beta;.D.glucuronosides.degradation",0.0705681985763948,0.177777577182841,"GLUCUROCAT.PWY:superpathway.of.&beta;.D.glucuronosides.degradation"
"PWY.5913:partial.TCA.cycle.(obligate.autotrophs)",0.0705681985763948,0.177777577182841,"PWY.5913:partial.TCA.cycle.(obligate.autotrophs)"
"PWY.1861:formaldehyde.assimilation.II.(assimilatory.RuMP.Cycle)",0.0705681985763948,0.177777577182841,"PWY.1861:formaldehyde.assimilation.II.(assimilatory.RuMP.Cycle)"
"PWY.702:L.methionine.biosynthesis.II",0.0705681985763948,0.177777577182841,"PWY.702:L.methionine.biosynthesis.II"
"PWY.6969:TCA.cycle.V.(2.oxoglutarate.synthase)",0.0705681985763948,0.177777577182841,"PWY.6969:TCA.cycle.V.(2.oxoglutarate.synthase)"
"GLYCOLYSIS.E.D:superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway",0.0705681985763948,0.177777577182841,"GLYCOLYSIS.E.D:superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway"
"PWY.7761:NAD.salvage.pathway.II.(PNC.IV.cycle)",0.0705681985763948,0.177777577182841,"PWY.7761:NAD.salvage.pathway.II.(PNC.IV.cycle)"
"PWY.1269:CMP.3.deoxy.D.manno.octulosonate.biosynthesis",0.0705681985763948,0.177777577182841,"PWY.1269:CMP.3.deoxy.D.manno.octulosonate.biosynthesis"
"PWY.6293:superpathway.of.L.cysteine.biosynthesis.(fungi)",0.0705681985763948,0.177777577182841,"PWY.6293:superpathway.of.L.cysteine.biosynthesis.(fungi)"
"ARGININE.SYN4.PWY:L.ornithine.biosynthesis.II",0.0705681985763948,0.177777577182841,"ARGININE.SYN4.PWY:L.ornithine.biosynthesis.II"
"PWY.5136:fatty.acid.&beta;.oxidation.II.(plant.peroxisome)",0.0705681985763948,0.177777577182841,"PWY.5136:fatty.acid.&beta;.oxidation.II.(plant.peroxisome)"
"NAGLIPASYN.PWY:lipid.IVA.biosynthesis.(E..coli)",0.0705681985763948,0.177777577182841,"NAGLIPASYN.PWY:lipid.IVA.biosynthesis.(E..coli)"
"PWY.8073:lipid.IVA.biosynthesis.(P..putida)",0.0705681985763948,0.177777577182841,"PWY.8073:lipid.IVA.biosynthesis.(P..putida)"
"PWY.801:homocysteine.and.cysteine.interconversion",0.0705681985763948,0.177777577182841,"PWY.801:homocysteine.and.cysteine.interconversion"
"HEME.BIOSYNTHESIS.II:heme.b.biosynthesis.I.(aerobic)",0.0705681985763948,0.177777577182841,"HEME.BIOSYNTHESIS.II:heme.b.biosynthesis.I.(aerobic)"
"PWY0.1261:anhydromuropeptides.recycling.I",0.0705681985763948,0.177777577182841,"PWY0.1261:anhydromuropeptides.recycling.I"
"PPGPPMET.PWY:ppGpp.metabolism",0.0705681985763948,0.177777577182841,"PPGPPMET.PWY:ppGpp.metabolism"
"HEME.BIOSYNTHESIS.II:heme.biosynthesis.I.(aerobic)",0.0705681985763948,0.177777577182841,"HEME.BIOSYNTHESIS.II:heme.biosynthesis.I.(aerobic)"
"HEMESYN2.PWY:heme.b.biosynthesis.II.(oxygen.independent)",0.0705681985763948,0.177777577182841,"HEMESYN2.PWY:heme.b.biosynthesis.II.(oxygen.independent)"
"PWY.5130:2.oxobutanoate.degradation.I",0.0705681985763948,0.177777577182841,"PWY.5130:2.oxobutanoate.degradation.I"
"P185.PWY:formaldehyde.assimilation.III.(dihydroxyacetone.cycle)",0.0705681985763948,0.177777577182841,"P185.PWY:formaldehyde.assimilation.III.(dihydroxyacetone.cycle)"
"PWY.6630:superpathway.of.L.tyrosine.biosynthesis",0.0725599919647769,0.1816310626889,"PWY.6630:superpathway.of.L.tyrosine.biosynthesis"
"THISYN.PWY:superpathway.of.thiamin.diphosphate.biosynthesis.I",0.0749492507175339,0.186424402101208,"THISYN.PWY:superpathway.of.thiamin.diphosphate.biosynthesis.I"
"PWY.2942:L.lysine.biosynthesis.III",0.0782159017453135,0.192117808661926,"PWY.2942:L.lysine.biosynthesis.III"
"LACTOSECAT.PWY:lactose.and.galactose.degradation.I",0.0782159017453135,0.192117808661926,"LACTOSECAT.PWY:lactose.and.galactose.degradation.I"
"PWY0.1298:superpathway.of.pyrimidine.deoxyribonucleosides.degradation",0.0799669271270829,0.195198772428221,"PWY0.1298:superpathway.of.pyrimidine.deoxyribonucleosides.degradation"
"SO4ASSIM.PWY:sulfate.reduction.I.(assimilatory)",0.0916485632259261,0.222332625603636,"SO4ASSIM.PWY:sulfate.reduction.I.(assimilatory)"
"PWY66.422:D.galactose.degradation.V.(Leloir.pathway)",0.0931488820594798,0.223216528349851,"PWY66.422:D.galactose.degradation.V.(Leloir.pathway)"
"PWY.6317:galactose.degradation.I.(Leloir.pathway)",0.0931488820594798,0.223216528349851,"PWY.6317:galactose.degradation.I.(Leloir.pathway)"
"SALVADEHYPOX.PWY:adenosine.nucleotides.degradation.II",0.0970494234313424,0.228485750240014,"SALVADEHYPOX.PWY:adenosine.nucleotides.degradation.II"
"PWY.5103:L.isoleucine.biosynthesis.III",0.0982546864899806,0.228485750240014,"PWY.5103:L.isoleucine.biosynthesis.III"
"PWY.6123:inosine.5'.phosphate.biosynthesis.I",0.0982546864899806,0.228485750240014,"PWY.6123:inosine.5'.phosphate.biosynthesis.I"
"PWY.6124:inosine.5'.phosphate.biosynthesis.II",0.0982546864899806,0.228485750240014,"PWY.6124:inosine.5'.phosphate.biosynthesis.II"
"PWY.6163:chorismate.biosynthesis.from.3.dehydroquinate",0.0982546864899806,0.228485750240014,"PWY.6163:chorismate.biosynthesis.from.3.dehydroquinate"
