"","Intercept::Est","Intercept::SE","Intercept::t.val","Experiment3:Est","Experiment3:SE","Experiment3:t.val","GroupsY:Est","GroupsY:SE","GroupsY:t.val","(Intercept):pval","Experiment3:pval","GroupsY:pval","(Intercept):pval.padj","Experiment3:pval.padj","GroupsY:pval.padj","Pathway"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",9.74823906976334,0.131509819498225,74.377011144526,-0.743088702717653,0.156906669432693,-4.75147291196371,0.544031528524759,0.156256949584168,3.49438393141455,1.34644010168008e-24,0.000210323604396892,0.00341981699100158,5.58267022322006e-22,0.0726550492500392,0.789637202082256,"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)"
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",9.6388137843179,0.14842860366236,65.1264452411437,-0.944826247035998,0.177092767202228,-5.34969573474382,0.657944943052837,0.176359460668493,3.74195676660908,1.45535792651227e-23,5.28692297472166e-05,0.00186076478866044,5.94100924987545e-21,0.0186096434368543,0.595306045507202,"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)"
"ARO-PWY: chorismate biosynthesis I",9.35506647753353,0.17999628162734,52.0931508591209,-0.510328022571752,0.214756716784911,-2.38166256437309,0.577263102091726,0.213867451197898,2.7062976462098,8.67780472717705e-22,0.0312497981425937,0.0162627159113493,3.3727213196264e-19,1,1,"ARO-PWY: chorismate biosynthesis I"
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",6.86424392136394,0.191233916486821,35.9784820062891,0.993381109757052,0.228164535796675,4.36330238699384,0.548207830148219,0.227219751051879,2.41734874992602,8.93302865201274e-19,0.000412619732742424,0.0286357248919434,3.23643067397677e-16,0.133847244504272,1,"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis"
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",2.7845915894487,2.08750420415301,1.37290730303422,-3.35355217112644,2.49063783487905,-1.36509982731881,-3.62370334665468,2.48032459043469,-1.47602096240954,0.214828912430457,0.214728806231557,0.17602732786876,1,1,1,"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",9.52498970590488,0.735442986306697,14.52547739657,-17.6998893375619,0.877469910454673,-22.3562494833278,0.27869325551947,0.873836479069205,0.40597520233384,2.14646430982315e-07,3.32010963860485e-11,0.62428403124094,5.96813358494299e-05,1.23180413386798e-08,1,"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",-8.35530578223573,0.810468038446161,-10.9844538861831,17.5114154512627,0.966983614451327,19.5630051398292,0.670736933576553,0.96297952431431,0.708417526077173,1.63593531311845e-07,2.78157002864029e-11,0.530226854129418,5.61383546774392e-05,1.01173437224351e-08,1,"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis"
"CALVIN-PWY: Calvin-Benson-Bassham cycle",9.02155655944877,0.134010079583202,67.5910426991747,-0.498023495057262,0.159889773539642,-3.1266014466322,0.0441496629185111,0.159227701240099,0.276710625951536,8.6423428124175e-24,0.0073652723090102,0.772331981769135,3.54302753470796e-21,0.926929458845998,1,"CALVIN-PWY: Calvin-Benson-Bassham cycle"
"CENTFERM-PWY: pyruvate fermentation to butanoate",5.47602561580331,0.282047292016452,19.4373143585203,0.0386065932734632,0.336515565010026,0.114492873588296,0.0762437221155626,0.335122119831977,0.228855062956701,6.43901259639897e-14,0.896856543372446,0.820983332293541,2.09962408182456e-11,1,1,"CENTFERM-PWY: pyruvate fermentation to butanoate"
"CITRULBIO-PWY: L-citrulline biosynthesis",-1.42008969627449,1.87270737134554,-0.753128593151642,-4.30160914591078,2.23435997084498,-1.95153379090632,3.38238129436578,2.22510792294251,1.55328262701711,0.480047222157515,0.0874621399549139,0.170219584790004,1,1,1,"CITRULBIO-PWY: L-citrulline biosynthesis"
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)",9.56602620467823,0.723122071136251,15.0472040075377,-17.8317205670777,0.862769610726991,-23.2574934581974,0.348802401670919,0.859197050409316,0.481902902510593,1.96335064752403e-05,2.20501919171584e-08,0.600928704682545,0.00510599728829321,8.09267958012429e-06,1,"COA-PWY-1: coenzyme A biosynthesis II (mammalian)"
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",-8.02611898529966,0.857645391522975,-10.0210262279234,17.9584038070532,1.02327174086027,19.1011198469312,-0.0144188779866731,1.01903457259409,-0.0371205048333878,7.01289503506758e-07,2.6817817317664e-10,0.729376543687721,0.000237789891722266,9.5739716643414e-08,1,"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)"
"COA-PWY: coenzyme A biosynthesis I",9.24192583136821,0.718288832834937,14.2952671525463,-17.2446683457245,0.857002989441011,-22.1083744082683,0.128601482832535,0.853454307574916,0.192272641476083,1.49147174220901e-07,7.61035574836644e-11,0.70191203347623,4.15993340187576e-05,2.83451126893014e-08,1,"COA-PWY: coenzyme A biosynthesis I"
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",-8.12023881679515,0.861355256236918,-10.141518241966,17.9687407073362,1.02769804543989,19.0977859340864,0.347122557461701,1.02344254871163,0.322645901878844,1.73255124924325e-06,2.86952074093839e-10,0.657934818673503,0.000554043375645227,1.02372416146738e-07,1,"COA-PWY: coenzyme A biosynthesis I (prokaryotic)"
"COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I",2.7229558254371,1.57216508628256,1.80448749302503,-7.84787571430232,1.8757777056358,-4.2907696991476,-5.89127992018001,1.86801047680366,-3.21671819646958,0.120946540145206,0.0022096053272589,0.0113027051507215,0.9906737720503,0.324133457575599,0.840669406958823,"COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I"
"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I",-7.41541517221976,1.3230710149276,-5.80026506114069,11.030337940527,1.57857920547161,7.28359223713267,-0.998376481830318,1.57204261753706,-0.649291045813038,0.000338712209703025,4.70896826563998e-05,0.553836415068024,0.0685925893742788,0.015133053275334,1,"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I"
"COLANSYN-PWY: colanic acid building blocks biosynthesis",5.90489323933999,0.234064681267135,25.2742076138684,1.78149565555025,0.279266671565516,6.39060038102248,0.494545409331341,0.278110282865127,1.78043797807281,5.9218997910113e-16,4.90459012239444e-06,0.0954320354513742,2.01084088035982e-13,0.00166249817026733,1,"COLANSYN-PWY: colanic acid building blocks biosynthesis"
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",9.24662584358164,0.166820997470081,55.5683253894199,-0.740469090369291,0.199037054452222,-3.7295208443471,0.650682313401726,0.198212880914302,3.29219239489559,2.71747290412947e-22,0.00177625864455137,0.00477242992672503,1.08043404287203e-19,0.537045393509259,0.916923888620074,"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis"
"CRNFORCAT-PWY: creatinine degradation I",-2.81817348223926,1.85609548395649,-1.50589600775131,-3.44975588827123,2.21454003699402,-1.58734384415375,-1.70898596204442,2.20537005956354,-0.786116819981103,0.165973039556049,0.187138576622177,0.48265260367359,1,1,1,"CRNFORCAT-PWY: creatinine degradation I"
"DAPLYSINESYN-PWY: L-lysine biosynthesis I",4.8504338586585,0.241876581935044,20.0796484698525,0.974979437668572,0.288587187101294,3.38128853051278,0.132964376125335,0.287392203967896,0.462814747011732,3.72991267206106e-14,0.00341720259844342,0.653322801047785,1.22182281509758e-11,0.86668163933485,1,"DAPLYSINESYN-PWY: L-lysine biosynthesis I"
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",8.76593819757027,0.689890415105801,14.1077207332182,-16.8626286705762,0.823120339764822,-22.5296453831688,0.233125154237208,0.819711959328199,0.342667210147677,6.86145403408834e-08,1.2443650276861e-11,0.659721104521805,1.93799370469517e-05,4.6817597680604e-09,1,"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II"
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",-7.92152598727017,0.805310249021614,-10.6799005445371,18.3379558090386,0.960829765534731,20.9566476314452,0.175509340594407,0.956851157283222,0.202608746217448,1.99188597181134e-06,1.48936530861107e-09,0.709735622926391,0.000626446842511397,5.21861324439522e-07,1,"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis"
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I",10.0725021771945,0.737687981562419,14.8391286701072,-18.4626193153701,0.880148453622107,-22.6126585891859,0.628280636912989,0.876503930912941,0.788121739216839,6.3248437208601e-08,1.393205342759e-11,0.498984441221498,1.76310955115608e-05,5.23079820603789e-09,1,"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I"
"FAO-PWY: fatty acid &beta;-oxidation I",4.1808222686509,0.725305031588287,6.38621728062147,-12.1659780700152,0.865374139083421,-15.3304288877296,0.061549489991578,0.861790793922914,0.0867202579709189,0.000971239218075337,3.85505057390323e-09,0.729930190670692,0.103352390315438,1.42308309859611e-06,1,"FAO-PWY: fatty acid &beta;-oxidation I"
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",2.75849211188622,2.07946751287016,1.36841733889114,-3.32851006570099,2.4810491177227,-1.36603699333857,-3.59139730677272,2.47077557828185,-1.46139511302973,0.212505146391784,0.215037502487621,0.175017491043236,1,1,1,"FASYN-ELONG-PWY: fatty acid elongation -- saturated"
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",0.655809029866934,1.58466535775939,0.454446595021108,-8.62598967234607,1.8906919985146,-4.6671883793572,-0.166304220459737,1.88286301251086,-0.0904276476207499,0.65394550385916,0.00175577951706881,0.795918527920377,1,0.186202107694413,1,"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)"
"FERMENTATION-PWY: mixed acid fermentation",5.51611383165516,0.341301645896495,16.1748745394046,-0.0189231679362526,0.407212972642231,-0.0462906274666714,-0.354886300203998,0.405526783317971,-0.875644870765085,1.66184650620179e-12,0.940564997237575,0.395981349073156,5.24599890896703e-10,1,1,"FERMENTATION-PWY: mixed acid fermentation"
"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage",0.73729847078254,2.23526448487369,0.349078117449267,3.3518193205188,2.66693321427188,1.26267755606588,-3.01024655167758,2.65588996512085,-1.13995712545342,0.72258860526181,0.234362140693325,0.287257705785112,1,1,1,"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage"
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",-6.37379783960752,1.68826429190382,-3.80579816400037,-1.95507498921082,2.01429770168872,-1.02338708446635,0.335389624051786,2.00595688862859,0.16812792749678,0.00255614463670231,0.411055648961244,0.761787711076889,0.427162683422691,1,1,"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation"
"FUCCAT-PWY: fucose degradation",0.0060736708140474,1.52258807670553,0.0372268165916619,-2.42164557720788,1.81662650701927,-1.33256446264779,5.04105244531352,1.80910421173867,2.79821465336915,0.899265703785108,0.209614355175638,0.0118397895436598,1,1,1,"FUCCAT-PWY: fucose degradation"
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",5.33283955422697,1.03495759975684,5.44489240283894,-2.05026335930875,1.23482604265982,-1.68787931433751,1.3914823197155,1.22971286938113,1.13856617121496,0.000680361434335188,0.110225329202737,0.269722992457779,0.121393921386482,1,1,"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation"
"GALACTARDEG-PWY: D-galactarate degradation I",-3.43811130252003,2.20140858767779,-1.55439005178299,1.49434022110651,2.62653915023976,0.572448377005798,1.77976710539831,2.6156631650123,0.684376910283108,0.148848243115955,0.586849037228121,0.519376676146218,1,1,1,"GALACTARDEG-PWY: D-galactarate degradation I"
"GALACTUROCAT-PWY: D-galacturonate degradation I",6.00761338850282,0.222928171967197,26.9976585997201,-0.541306275336074,0.265979507230361,-2.03748394008677,0.368479973101236,0.264878138080323,1.39240758733572,1.79506594475149e-16,0.0589769647578073,0.186633526669832,6.17256060830565e-14,1,1,"GALACTUROCAT-PWY: D-galacturonate degradation I"
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",4.82856231481686,0.262465796561418,18.4315467151622,3.1074462397057,0.313152539753937,9.93939193941499,-0.368263206232661,0.311855836296845,-1.18250418602263,1.95951751993855e-13,7.27445699657898e-09,0.257919647091956,6.30734765273915e-11,2.58818954433267e-06,1,"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"GLUCARDEG-PWY: D-glucarate degradation I",-3.44502751339612,2.23302981989208,-1.5358906314573,1.22063489127273,2.66426699633545,0.472620537396859,1.94165295724805,2.65323478747174,0.727945228610208,0.154435178926136,0.648538279245891,0.502417663436801,1,1,1,"GLUCARDEG-PWY: D-glucarate degradation I"
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",-3.31674610864194,2.21493492342005,-1.48688675512849,1.28996271279753,2.64267765836823,0.485323851579383,1.77988870000803,2.63173484673311,0.678729251588703,0.168061108180083,0.64435283974594,0.531413137360265,1,1,1,"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation"
"GLUCONEO-PWY: gluconeogenesis I",9.00054248011005,0.178216049844812,50.648911255214,0.581256752470332,0.212632691059072,2.74132523148684,0.175780313493864,0.211752220647419,0.833496983370898,1.56088827315508e-21,0.0150465495197009,0.426975666529518,6.00796530330337e-19,0.998128064827796,1,"GLUCONEO-PWY: gluconeogenesis I"
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",-1.02936981518964,2.04174853543867,-0.49431856285197,-5.60413561618843,2.43604594498805,-2.3254050847549,0.261719314879081,2.42595875488899,0.120379666706367,0.634964476074508,0.0468274956557564,0.820757841454243,1,0.999532814376235,1,"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation"
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation",5.94490788015743,0.73003541681087,9.05577853896078,-14.0334719055699,0.871018044559385,-17.6745423240573,0.0423707613014472,0.867411329089483,0.033875896059315,4.91169278837071e-05,1.56803932685468e-09,0.751211803688694,0.0129553890607817,5.80308956070821e-07,1,"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation"
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation",-8.34848440276866,0.869592867418811,-10.0855827801827,13.6774888775194,1.0375264836475,13.9470242752045,0.618201043940745,1.03323028927773,0.66034601743772,4.9016244295548e-07,2.80901401627545e-09,0.53780438174887,0.000164563817422993,9.93081678371469e-07,1,"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation"
"GLUDEG-I-PWY: GABA shunt",4.38180605932555,0.327605296376408,13.3874050238508,2.34345461771674,0.390871618097129,6.00126947286488,-0.22630390982877,0.389253095127895,-0.581410489012663,4.61185297007862e-11,1.0018568276314e-05,0.571331822422692,1.41211694247515e-08,0.00337361435742442,1,"GLUDEG-I-PWY: GABA shunt"
"GLUTORN-PWY: L-ornithine biosynthesis",9.28119627927502,0.76952108014279,13.484006773452,-17.8179479782503,0.918129081190652,-21.4542688027888,0.572052774540526,0.914327288126568,0.679872665289379,3.91201692975472e-07,1.6015130888114e-10,0.548060278219113,0.000108259247744,5.95003230921543e-08,0.996348182803708,"GLUTORN-PWY: L-ornithine biosynthesis"
"GLUTORN-PWY: L-ornithine biosynthesis I",-8.25123896809763,0.811002342262773,-10.7342990731282,16.2817141438254,0.967621101694862,17.8932812551226,0.695272135167173,0.963614371847775,0.797790368532111,1.21148632443654e-07,1.22218719599899e-10,0.4930987089632,4.29123702804027e-05,4.40972922920282e-08,1,"GLUTORN-PWY: L-ornithine biosynthesis I"
"GLYCOCAT-PWY: glycogen degradation I",-8.08695350956965,0.824422723436271,-10.3997223682841,16.1123147047253,0.983633193571236,17.5191153955477,0.160933391282466,0.979560160781475,0.180140281894161,3.80426234044065e-07,3.10198487887567e-10,0.689133880654315,0.00013128300887902,1.10941561204676e-07,1,"GLYCOCAT-PWY: glycogen degradation I"
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",-3.08918934909572,1.86479334604332,-1.6523659062436,-4.78891507350745,2.22491760861899,-2.19562407083205,-0.340053841275754,2.21570465969286,-0.150649618917463,0.135518637391388,0.0736590022681119,0.790115706674579,1,0.977950684796333,1,"GLYCOCAT-PWY: glycogen degradation I (bacterial)"
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",7.99142286089586,0.132782457402186,60.425935922204,1.6771051240282,0.158425076009983,10.6281139954182,-0.204544713716269,0.157769068736615,-1.30171900564627,7.28785761429119e-23,3.71921327934953e-09,0.228025133434962,2.91213462239395e-20,1.32838151804395e-06,1,"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)"
"GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff",3.5948911994628,1.65552700455053,2.24660407277166,-11.5019649719736,1.97523827065562,-5.95091464930418,-0.219770053597416,1.96705919506469,-0.113461509741133,0.0642440687694523,0.000209479730640212,0.807900111720824,0.993354792302115,0.0383992150369565,1,"GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff"
"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway",-8.0018023831893,0.87325455210365,-9.71347894841493,13.8458646909943,1.04189530379039,14.2267337249786,-0.0333912724739406,1.03758101899035,-0.0617236369439707,1.06829129217778e-06,3.69000591703226e-09,0.736778199562588,0.000355039402455242,1.30316615528171e-06,1,"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway"
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",-5.44503874321131,1.85494592036758,-2.94810651800088,-3.873925305481,2.21316847253804,-1.80009763257341,2.45005937806094,2.20400417448788,1.13951872587444,0.0142855069409025,0.139743375786645,0.334311307646108,0.908787692403297,0.992288594269719,1,"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",9.24376423944738,0.14047476323173,66.1147719436114,0.855354826540624,0.167602900849046,5.12788708474312,0.0289149234007338,0.166908889996953,0.175771546309219,1.32000977623751e-23,9.5954197550545e-05,0.832253849628646,5.42355187536869e-21,0.0316184382372345,1,"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)"
"GLYOXYLATE-BYPASS: glyoxylate cycle",-2.24029623776568,1.56240212096549,-1.42365990974454,-6.83104822008226,1.86412934068835,-3.78620707522297,1.98302155834037,1.85641034545863,1.09365394742184,0.208927017778526,0.00656081132187244,0.346009767182163,1,0.532227188630657,1,"GLYOXYLATE-BYPASS: glyoxylate cycle"
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",2.14777861729453,1.75927083476081,1.27480201407893,-0.818613895728474,2.0990168518642,-0.393297884870221,-0.0686089442539747,2.09032523336273,-0.0361003319345876,0.241642553061684,0.702147018699054,0.904694927622572,1,1,1,"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"
"HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)",-10.7024800913854,1.55996376155738,-7.01878691233379,7.70332483706109,1.86122009136336,4.24948317997204,5.22614773440405,1.85351314276643,2.90942363920074,8.92146990348446e-06,0.00234388729558997,0.0289651772385327,0.00288432130925694,0.352529213269081,0.878514560431864,"HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)"
"HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)",-0.579854820123118,1.69682042930136,-0.319197005986881,-8.88034603707545,2.02450617910416,-4.49057235329586,2.64702254397057,2.01612309473444,1.34959244274425,0.739078958257726,0.00145019143138587,0.251644969393869,1,0.242586813796454,1,"HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)"
"HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)",-8.82415244926553,1.29220029236428,-7.02049486346697,10.5493936910958,1.54174680558792,7.07197324330929,1.90094231491415,1.53536273342188,1.2851718107928,1.33680560822046e-05,2.92667939851847e-05,0.304493033513535,0.00423527094555214,0.00950216224550386,1,"HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)"
"HEMESYN2-PWY: heme biosynthesis II (anaerobic)",-2.13842296575482,1.72664381689666,-1.21563789877018,-4.68719453076572,2.0600889852903,-2.34129686407096,-2.49369081161385,2.05155855947532,-1.25187652629658,0.265056172185786,0.063734583463242,0.301451363294962,1,0.958986383716278,1,"HEMESYN2-PWY: heme biosynthesis II (anaerobic)"
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)",6.26585422537517,1.03348839288736,6.26450464517188,-13.6061440547235,1.23307310620627,-11.2925069965436,0.823242236183379,1.2279671914948,0.700010826998927,6.96187454517645e-05,6.79861344998756e-09,0.534986066384556,0.0184568910630851,2.51582747943201e-06,1,"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)"
"HISDEG-PWY: L-histidine degradation I",7.67049984339922,0.301220541080644,25.4917380841344,0.792012505601771,0.35939150434554,2.20577458300105,-0.187511175656054,0.357903334374125,-0.524538791365004,4.45732913796628e-16,0.0414766246355779,0.609271438322364,1.52047007137499e-13,1,1,"HISDEG-PWY: L-histidine degradation I"
"HISTSYN-PWY: L-histidine biosynthesis",8.77191029643701,0.174970637996207,50.2761156085284,-0.0418125426185759,0.208760533329368,-0.20130277240332,0.342751594066752,0.207896096766007,1.65464434808703,1.8198205152132e-21,0.828756524142369,0.124312222206116,6.98343020125037e-19,1,1,"HISTSYN-PWY: L-histidine biosynthesis"
"HOMOSER-METSYN-PWY: L-methionine biosynthesis I",4.77819055174006,1.34252588927251,3.65894365512554,-8.89404702146086,1.60179115686306,-5.63690159232211,-0.161134533488491,1.5951584527749,-0.0897045742003764,0.00386289881712899,4.4804108148366e-05,0.850194726863109,0.532097921145496,0.0155981492698518,1,"HOMOSER-METSYN-PWY: L-methionine biosynthesis I"
"HSERMETANA-PWY: L-methionine biosynthesis III",8.74573631855361,0.19226737906061,45.5941053227186,0.0608107585417044,0.229397578097662,0.265257008409118,0.0845588111522793,0.228447687565713,0.370986089730856,1.04442599339041e-20,0.791500728954592,0.719290940920692,3.92350927911682e-18,1,1,"HSERMETANA-PWY: L-methionine biosynthesis III"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",10.3221636327526,0.122527401577438,84.6234211260809,-0.990975092566039,0.146189589257382,-6.81020055465079,0.512476068584064,0.14558424674306,3.53787307065914,1.38632328717671e-25,3.25173352236016e-06,0.00335788813311785,5.78070437385515e-23,0.00118065470946656,0.746942409891773,"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)"
"KETOGLUCONMET-PWY: ketogluconate metabolism",-1.64896418420388,1.93093187756234,-0.832217271346406,-5.36321239156515,2.30382864918929,-2.37964056831256,-0.236827915796184,2.29428894506842,-0.104437893563974,0.439551786700625,0.0547991318463603,0.832129815764597,1,0.988076179217059,1,"KETOGLUCONMET-PWY: ketogluconate metabolism"
